identity	archive	area	block	frame	width	height	x	y	aspect_ratio	animated	delay	animation_group	animation_frame_count	lifecycle	runtime_name	review_status	lifecycle_status	stage_status	runtime_path	candidate_sha256
BIGPIC1.DAX:121:000	BIGPIC1.DAX	1	121	0	304	120	0	0	38:15	False		BIGPIC1.DAX:121	1	bigpic_until_outer_frame	BIGPIC1_block_121_frame_000.png	approved	verified	integrated	integrated/BIGPIC1_block_121_frame_000.png	f5dc6f1fd1469d871f933052b208743beb69b994e3cb260d0748ac1bb6a32b38
BIGPIC1.DAX:123:000	BIGPIC1.DAX	1	123	0	304	120	0	0	38:15	False		BIGPIC1.DAX:123	1	bigpic_until_outer_frame	BIGPIC1_block_123_frame_000.png	approved	verified	integrated	integrated/BIGPIC1_block_123_frame_000.png	2ccbbe07c3d54d9599aab1e1f307893ecd375443f5ba72bb597b0e132b22f85d
BIGPIC2.DAX:120:000	BIGPIC2.DAX	2	120	0	304	120	0	0	38:15	False		BIGPIC2.DAX:120	1	bigpic_until_outer_frame	BIGPIC2_block_120_frame_000.png	approved	verified	integrated	integrated/BIGPIC2_block_120_frame_000.png	25afa5a90a3c17d8023c1d30b73bd526971539dcfde6b1f3f73d27aa721c6fb6
BIGPIC6.DAX:122:000	BIGPIC6.DAX	6	122	0	304	120	0	0	38:15	False		BIGPIC6.DAX:122	1	bigpic_until_outer_frame	BIGPIC6_block_122_frame_000.png	approved	verified	integrated	integrated/BIGPIC6_block_122_frame_000.png	3ba9b3d324ae7cf5e478b9f1ac1fec0ecf63f9aa16eb0a78335f2d1fccb89008
BODY2.DAX:000:000	BODY2.DAX	2	0	0	88	48	0	0	11:6	False		BODY2.DAX:000	1	portrait_body_until_portrait_or_panel_replace	BODY2_block_000_frame_000.png	rejected	pending	rejected		8f5440214f67d87b459e699dc20f92e5e340e0f733534faec74c40a20f16b88a
BODY2.DAX:001:000	BODY2.DAX	2	1	0	88	48	0	0	11:6	False		BODY2.DAX:001	1	portrait_body_until_portrait_or_panel_replace	BODY2_block_001_frame_000.png	rejected	pending	rejected		e9eccf13bb13040500af1392948bdddb486909b738f4260afdb7f899aefb4488
BODY2.DAX:002:000	BODY2.DAX	2	2	0	88	48	0	0	11:6	False		BODY2.DAX:002	1	portrait_body_until_portrait_or_panel_replace	BODY2_block_002_frame_000.png	missing	pending	missing		
BODY2.DAX:003:000	BODY2.DAX	2	3	0	88	48	0	0	11:6	False		BODY2.DAX:003	1	portrait_body_until_portrait_or_panel_replace	BODY2_block_003_frame_000.png	approved	verified	integrated	integrated/BODY2_block_003_frame_000.png	cb310cc6de59695e1803dae379a7e0ac7e8e5e59ed87e6f425419c5d5426cde9
BODY2.DAX:004:000	BODY2.DAX	2	4	0	88	48	0	0	11:6	False		BODY2.DAX:004	1	portrait_body_until_portrait_or_panel_replace	BODY2_block_004_frame_000.png	missing	pending	missing		
BODY2.DAX:005:000	BODY2.DAX	2	5	0	88	48	0	0	11:6	False		BODY2.DAX:005	1	portrait_body_until_portrait_or_panel_replace	BODY2_block_005_frame_000.png	missing	pending	missing		
BODY2.DAX:006:000	BODY2.DAX	2	6	0	88	48	0	0	11:6	False		BODY2.DAX:006	1	portrait_body_until_portrait_or_panel_replace	BODY2_block_006_frame_000.png	missing	pending	missing		
BODY2.DAX:065:000	BODY2.DAX	2	65	0	88	48	0	0	11:6	False		BODY2.DAX:065	1	portrait_body_until_portrait_or_panel_replace	BODY2_block_065_frame_000.png	missing	pending	missing		
BODY3.DAX:003:000	BODY3.DAX	3	3	0	88	48	0	0	11:6	False		BODY3.DAX:003	1	portrait_body_until_portrait_or_panel_replace	BODY3_block_003_frame_000.png	missing	pending	missing		
BODY3.DAX:016:000	BODY3.DAX	3	16	0	88	48	0	0	11:6	False		BODY3.DAX:016	1	portrait_body_until_portrait_or_panel_replace	BODY3_block_016_frame_000.png	missing	pending	missing		
BODY3.DAX:017:000	BODY3.DAX	3	17	0	88	48	0	0	11:6	False		BODY3.DAX:017	1	portrait_body_until_portrait_or_panel_replace	BODY3_block_017_frame_000.png	missing	pending	missing		
BODY3.DAX:018:000	BODY3.DAX	3	18	0	88	48	0	0	11:6	False		BODY3.DAX:018	1	portrait_body_until_portrait_or_panel_replace	BODY3_block_018_frame_000.png	missing	pending	missing		
BODY3.DAX:019:000	BODY3.DAX	3	19	0	88	48	0	0	11:6	False		BODY3.DAX:019	1	portrait_body_until_portrait_or_panel_replace	BODY3_block_019_frame_000.png	missing	pending	missing		
BODY3.DAX:022:000	BODY3.DAX	3	22	0	88	48	0	0	11:6	False		BODY3.DAX:022	1	portrait_body_until_portrait_or_panel_replace	BODY3_block_022_frame_000.png	missing	pending	missing		
BODY4.DAX:032:000	BODY4.DAX	4	32	0	88	48	0	0	11:6	False		BODY4.DAX:032	1	portrait_body_until_portrait_or_panel_replace	BODY4_block_032_frame_000.png	missing	pending	missing		
BODY4.DAX:033:000	BODY4.DAX	4	33	0	88	48	0	0	11:6	False		BODY4.DAX:033	1	portrait_body_until_portrait_or_panel_replace	BODY4_block_033_frame_000.png	missing	pending	missing		
BODY4.DAX:034:000	BODY4.DAX	4	34	0	88	48	0	0	11:6	False		BODY4.DAX:034	1	portrait_body_until_portrait_or_panel_replace	BODY4_block_034_frame_000.png	missing	pending	missing		
BODY4.DAX:035:000	BODY4.DAX	4	35	0	88	48	0	0	11:6	False		BODY4.DAX:035	1	portrait_body_until_portrait_or_panel_replace	BODY4_block_035_frame_000.png	missing	pending	missing		
BODY4.DAX:042:000	BODY4.DAX	4	42	0	88	48	0	0	11:6	False		BODY4.DAX:042	1	portrait_body_until_portrait_or_panel_replace	BODY4_block_042_frame_000.png	missing	pending	missing		
BODY4.DAX:049:000	BODY4.DAX	4	49	0	88	48	0	0	11:6	False		BODY4.DAX:049	1	portrait_body_until_portrait_or_panel_replace	BODY4_block_049_frame_000.png	missing	pending	missing		
BODY4.DAX:070:000	BODY4.DAX	4	70	0	88	48	0	0	11:6	False		BODY4.DAX:070	1	portrait_body_until_portrait_or_panel_replace	BODY4_block_070_frame_000.png	missing	pending	missing		
BODY5.DAX:003:000	BODY5.DAX	5	3	0	88	48	0	0	11:6	False		BODY5.DAX:003	1	portrait_body_until_portrait_or_panel_replace	BODY5_block_003_frame_000.png	missing	pending	missing		
BODY5.DAX:049:000	BODY5.DAX	5	49	0	88	48	0	0	11:6	False		BODY5.DAX:049	1	portrait_body_until_portrait_or_panel_replace	BODY5_block_049_frame_000.png	missing	pending	missing		
BODY5.DAX:050:000	BODY5.DAX	5	50	0	88	48	0	0	11:6	False		BODY5.DAX:050	1	portrait_body_until_portrait_or_panel_replace	BODY5_block_050_frame_000.png	missing	pending	missing		
BODY5.DAX:051:000	BODY5.DAX	5	51	0	88	48	0	0	11:6	False		BODY5.DAX:051	1	portrait_body_until_portrait_or_panel_replace	BODY5_block_051_frame_000.png	missing	pending	missing		
BODY5.DAX:058:000	BODY5.DAX	5	58	0	88	48	0	0	11:6	False		BODY5.DAX:058	1	portrait_body_until_portrait_or_panel_replace	BODY5_block_058_frame_000.png	missing	pending	missing		
BODY5.DAX:059:000	BODY5.DAX	5	59	0	88	48	0	0	11:6	False		BODY5.DAX:059	1	portrait_body_until_portrait_or_panel_replace	BODY5_block_059_frame_000.png	missing	pending	missing		
BODY6.DAX:016:000	BODY6.DAX	6	16	0	88	48	0	0	11:6	False		BODY6.DAX:016	1	portrait_body_until_portrait_or_panel_replace	BODY6_block_016_frame_000.png	missing	pending	missing		
BODY6.DAX:064:000	BODY6.DAX	6	64	0	88	48	0	0	11:6	False		BODY6.DAX:064	1	portrait_body_until_portrait_or_panel_replace	BODY6_block_064_frame_000.png	missing	pending	missing		
BODY6.DAX:065:000	BODY6.DAX	6	65	0	88	48	0	0	11:6	False		BODY6.DAX:065	1	portrait_body_until_portrait_or_panel_replace	BODY6_block_065_frame_000.png	missing	pending	missing		
BODY6.DAX:070:000	BODY6.DAX	6	70	0	88	48	0	0	11:6	False		BODY6.DAX:070	1	portrait_body_until_portrait_or_panel_replace	BODY6_block_070_frame_000.png	missing	pending	missing		
HEAD2.DAX:000:000	HEAD2.DAX	2	0	0	88	40	0	0	11:5	False		HEAD2.DAX:000	1	portrait_head_until_portrait_or_panel_replace	HEAD2_block_000_frame_000.png	missing	pending	missing		
HEAD2.DAX:001:000	HEAD2.DAX	2	1	0	88	40	0	0	11:5	False		HEAD2.DAX:001	1	portrait_head_until_portrait_or_panel_replace	HEAD2_block_001_frame_000.png	missing	pending	missing		
HEAD2.DAX:002:000	HEAD2.DAX	2	2	0	88	40	0	0	11:5	False		HEAD2.DAX:002	1	portrait_head_until_portrait_or_panel_replace	HEAD2_block_002_frame_000.png	missing	pending	missing		
HEAD2.DAX:003:000	HEAD2.DAX	2	3	0	88	40	0	0	11:5	False		HEAD2.DAX:003	1	portrait_head_until_portrait_or_panel_replace	HEAD2_block_003_frame_000.png	approved	verified	integrated	integrated/HEAD2_block_003_frame_000.png	edcc3dfdc9344c85cae884c87be7b792b9c26875b990ab36c7dc680ad642baa4
HEAD2.DAX:004:000	HEAD2.DAX	2	4	0	88	40	0	0	11:5	False		HEAD2.DAX:004	1	portrait_head_until_portrait_or_panel_replace	HEAD2_block_004_frame_000.png	missing	pending	missing		
HEAD2.DAX:005:000	HEAD2.DAX	2	5	0	88	40	0	0	11:5	False		HEAD2.DAX:005	1	portrait_head_until_portrait_or_panel_replace	HEAD2_block_005_frame_000.png	missing	pending	missing		
HEAD2.DAX:006:000	HEAD2.DAX	2	6	0	88	40	0	0	11:5	False		HEAD2.DAX:006	1	portrait_head_until_portrait_or_panel_replace	HEAD2_block_006_frame_000.png	missing	pending	missing		
HEAD2.DAX:008:000	HEAD2.DAX	2	8	0	88	40	0	0	11:5	False		HEAD2.DAX:008	1	portrait_head_until_portrait_or_panel_replace	HEAD2_block_008_frame_000.png	missing	pending	missing		
HEAD2.DAX:009:000	HEAD2.DAX	2	9	0	88	40	0	0	11:5	False		HEAD2.DAX:009	1	portrait_head_until_portrait_or_panel_replace	HEAD2_block_009_frame_000.png	missing	pending	missing		
HEAD2.DAX:065:000	HEAD2.DAX	2	65	0	88	40	0	0	11:5	False		HEAD2.DAX:065	1	portrait_head_until_portrait_or_panel_replace	HEAD2_block_065_frame_000.png	missing	pending	missing		
HEAD3.DAX:003:000	HEAD3.DAX	3	3	0	88	40	0	0	11:5	False		HEAD3.DAX:003	1	portrait_head_until_portrait_or_panel_replace	HEAD3_block_003_frame_000.png	missing	pending	missing		
HEAD3.DAX:016:000	HEAD3.DAX	3	16	0	88	40	0	0	11:5	False		HEAD3.DAX:016	1	portrait_head_until_portrait_or_panel_replace	HEAD3_block_016_frame_000.png	missing	pending	missing		
