archive,area,block,frame,width,height,x,y,category_guess,animated,delay,png,sha256
BIGPIC1.DAX,1,121,0,304,120,0,0,large_scene,False,,png/BIGPIC1/BIGPIC1_block_121_frame_000.png,d151f919d1ad7c2bbd9862e1cea4f71d1be424a0a0e66b65f1e118d734662ef0
BIGPIC1.DAX,1,123,0,304,120,0,0,large_scene,False,,png/BIGPIC1/BIGPIC1_block_123_frame_000.png,4b9da34180bf52f16852a9185a3897de659a5fef7cca639207d0143545d3747a
BIGPIC2.DAX,2,120,0,304,120,0,0,large_scene,False,,png/BIGPIC2/BIGPIC2_block_120_frame_000.png,9ac9181ff7deb7c43a1c5951305cbc53630a382a94586d1ec0710d8e39c94436
BIGPIC6.DAX,6,122,0,304,120,0,0,large_scene,False,,png/BIGPIC6/BIGPIC6_block_122_frame_000.png,9303f006961a76a0a32094075cf11d553ca3c92280fc3fe52868d58e3e8a894b
BODY2.DAX,2,0,0,88,48,0,0,character_body,False,,png/BODY2/BODY2_block_000_frame_000.png,75caa84f3943932ef98b2c8807d2aa9e2d3e1f368d152cdb7764ddb02a1884d3
BODY2.DAX,2,1,0,88,48,0,0,character_body,False,,png/BODY2/BODY2_block_001_frame_000.png,21134a6c61529acba5b664f29eba3210ebdb47d963453fe14b6e6c44b282dc8d
BODY2.DAX,2,2,0,88,48,0,0,character_body,False,,png/BODY2/BODY2_block_002_frame_000.png,4d63d527ec5db11f6edc1b7bd436d0a2130cfe5eb3638ae10707865cb0bdc985
BODY2.DAX,2,3,0,88,48,0,0,character_body,False,,png/BODY2/BODY2_block_003_frame_000.png,aaf8324e2740546b7420cfa8e4748323b1e82b621c5de1f644f61aff9ca4cda9
BODY2.DAX,2,4,0,88,48,0,0,character_body,False,,png/BODY2/BODY2_block_004_frame_000.png,d4947e8c26d5f363c20461f025864ef08fe323dfb89892294b63131d3ccaa429
BODY2.DAX,2,5,0,88,48,0,0,character_body,False,,png/BODY2/BODY2_block_005_frame_000.png,c1550dc0e876ea43701ba111ac74b9815c372122046cfd460cccc9433d025279
